,theme,asof,days,price,dd_52w,dd_pctile,dd_z,vs_sma200,vs_sma50,rs_spy_3m,rs_spy_6m,rs_spy_12m,ret_10d,vol_60d,dollar_vol,tp_pct,sl_pct,dip_low_pct,rr,size_1pct,is_dip,stabilizing,dip_score,theme_score,is_candidate
XLV,health,2026-09-24,752.0000,169.8700,-0.0294,0.5539,-0.1619,0.0970,0.0190,0.0631,0.0024,0.1012,0.0237,0.1814,1276155050.6467,0.0303,-0.0785,-0.0303,0.3853,0.1273,False,True,,,False
FCG,oil/gas,2026-09-24,752.0000,29.8400,-0.0834,0.6371,-0.2871,0.0640,-0.0060,0.0680,-0.2270,0.1617,-0.0637,0.2904,29684260.5489,0.0909,-0.1257,-0.1237,0.7233,0.0795,False,False,,,False
FDN,internet/ark,2026-09-24,752.0000,292.5500,-0.0145,0.6617,-0.0695,0.1022,0.0310,0.0811,0.0559,-0.1422,0.0160,0.2085,44210748.5670,0.0147,-0.0903,-0.0076,0.1628,0.1108,False,True,,,False
COPX,base-metals,2026-09-24,752.0000,86.2500,-0.1058,0.4502,-0.2509,0.0521,0.0036,0.0944,0.0050,0.4716,-0.0947,0.4215,265596888.8312,0.1183,-0.1825,-0.0239,0.6480,0.0548,False,False,,,False
IBB,biotech,2026-09-24,752.0000,209.2500,-0.0355,0.5484,-0.1446,0.1652,0.0416,0.1039,0.1143,0.2991,0.0184,0.2454,312557493.4046,0.0368,-0.1063,-0.0346,0.3462,0.0941,False,True,,,False
MAGS,bench,2026-09-24,752.0000,72.5100,-0.0063,0.7926,-0.0276,0.1067,0.0657,0.1079,0.0588,-0.0410,0.0460,0.2286,263009756.1923,0.0063,-0.0990,-0.0059,0.0641,0.1010,False,True,,,False
XLE,energy,2026-09-24,753.0000,62.6000,-0.0449,0.7003,-0.2067,0.1311,0.0209,0.1168,-0.1268,0.2747,-0.0302,0.2170,2086961099.9162,0.0470,-0.0940,-0.0131,0.4999,0.1064,False,False,,,False
ARKW,internet/ark,2026-09-24,752.0000,165.3900,-0.0782,0.4925,-0.2529,0.1660,0.0984,0.1454,0.1670,-0.1903,0.0594,0.3093,9619183.7645,0.0849,-0.1339,-0.3080,0.6337,0.0747,False,True,,,False
ARKK,internet/ark,2026-09-24,752.0000,91.7000,-0.0090,0.9059,-0.0240,0.1836,0.1303,0.1464,0.1485,-0.0801,0.0844,0.3736,389314754.5061,0.0091,-0.1618,-0.3073,0.0559,0.0618,False,True,,,False
SIL,silver,2026-09-24,752.0000,90.9600,-0.2283,0.1064,-0.4772,0.0015,0.0264,0.1564,-0.0890,0.1739,-0.0914,0.4783,98349331.6565,0.2958,-0.2071,-0.2149,1.4282,0.0483,False,False,,,False
XOP,oil/gas,2026-09-24,752.0000,184.0500,-0.0747,0.7326,-0.2618,0.1461,0.0169,0.1586,-0.1502,0.2796,-0.0524,0.2853,592224554.0589,0.0807,-0.1235,-0.0076,0.6535,0.0810,False,False,,,False
GDX,gold,2026-09-24,753.0000,92.3500,-0.2028,0.1281,-0.4193,0.0159,0.0309,0.1731,-0.1041,0.0839,-0.0383,0.4836,2117850000.2261,0.2544,-0.2094,-0.2340,1.2146,0.0478,False,False,,,False
ARKF,fin-other,2026-09-24,752.0000,47.4000,-0.1934,0.2797,-0.5918,0.1111,0.0837,0.1750,0.0491,-0.3333,0.0477,0.3269,5665882.2599,0.2398,-0.1415,-0.2376,1.6946,0.0707,False,True,,,False
CIBR,cyber,2026-09-24,752.0000,103.1900,-0.0079,0.7858,-0.0234,0.3086,0.0775,0.1836,0.4597,0.1862,0.0922,0.3357,169266019.4542,0.0079,-0.1454,0.0000,0.0545,0.0688,False,True,,,False
GDXJ,gold,2026-09-24,752.0000,119.8300,-0.2328,0.1105,-0.4475,0.0044,0.0355,0.1983,-0.0890,0.1251,-0.0729,0.5203,515641701.1204,0.3034,-0.2253,-0.2351,1.3469,0.0444,False,False,,,False
IGV,software,2026-09-24,753.0000,107.1500,-0.0846,0.3965,-0.2527,0.1440,0.0595,0.2168,0.1590,-0.2485,0.0588,0.3350,1091929993.6029,0.0925,-0.1451,-0.3033,0.6375,0.0689,False,True,,,False
HACK,cyber,2026-09-24,752.0000,122.1800,-0.0152,0.7176,-0.0393,0.3357,0.0808,0.2236,0.4361,0.2280,0.1011,0.3877,41507351.3062,0.0155,-0.1679,0.0000,0.0921,0.0596,False,True,,,False
SKYY,software,2026-09-24,752.0000,166.9100,-0.0118,0.7940,-0.0414,0.2679,0.0800,0.2442,0.3282,0.0420,0.0555,0.2861,38319278.9677,0.0120,-0.1239,-0.0617,0.0967,0.0807,False,True,,,False
BUG,cyber,2026-09-24,752.0000,46.6500,-0.0100,0.8445,-0.0211,0.4168,0.1261,0.3151,0.6751,0.1425,0.1414,0.4734,64212993.6767,0.0101,-0.2050,0.0000,0.0492,0.0488,False,True,,,False
ARKG,biotech,2026-09-24,752.0000,53.5300,0.0000,1.0000,0.0000,0.5492,0.1999,0.3386,0.8293,0.7592,0.1559,0.4426,208557852.1749,0.0000,-0.1916,0.0000,0.0000,0.0522,False,True,,,False
USO,oil/gas,2026-09-24,753.0000,153.0900,-0.0542,0.8351,-0.1039,0.3568,0.1336,0.3531,0.1762,0.8706,-0.0334,0.5213,873650279.8021,0.0573,-0.2257,-0.0589,0.2538,0.0443,False,False,,,False
WCLD,software,2026-09-24,752.0000,41.3500,-0.0417,0.8254,-0.1062,0.2729,0.0678,0.3533,0.3453,-0.0417,0.0630,0.3927,27949627.7858,0.0435,-0.1700,-0.0622,0.2560,0.0588,False,True,,,False
IBIT,crypto-spot,2026-09-24,678.0000,47.8100,-0.3294,0.2458,-0.8378,0.1373,0.1750,0.3789,0.0163,-0.4153,0.0946,0.3931,2379778401.7895,0.4911,-0.1702,-0.3037,2.8852,0.0587,False,True,,,False
ETHA,crypto-spot,2026-09-24,546.0000,20.3300,-0.4320,0.4061,-0.8723,0.1894,0.2227,0.6843,0.0649,-0.5220,0.0954,0.4952,859653057.4684,0.7605,-0.2144,-0.4225,3.5464,0.0466,False,True,,,False
