,theme,asof,days,price,dd_52w,dd_pctile,dd_z,vs_sma200,vs_sma50,rs_spy_3m,rs_spy_6m,rs_spy_12m,ret_10d,vol_60d,dollar_vol,tp_pct,sl_pct,dip_low_pct,rr,size_1pct,is_dip,stabilizing,dip_score,price_score,theme_score,is_candidate
BLOK,crypto-equity,2026-09-21,751.0000,66.7900,-0.0912,0.5150,-0.2282,0.1163,0.0836,-0.0361,0.1011,-0.1728,0.0239,0.3996,12952989.2939,0.1003,-0.1730,-0.2918,0.5799,0.0578,False,True,,4,,False
KRE,banks,2026-09-21,751.0000,71.9900,-0.0710,0.4358,-0.4344,0.0351,-0.0388,-0.0360,-0.0368,-0.0631,-0.0381,0.1634,906972332.6673,0.0764,-0.0707,0.0000,1.0797,0.1414,False,False,,3,,False
QQQ,bench,2026-09-21,751.0000,741.4700,-0.0042,0.7514,-0.0198,0.1206,0.0450,-0.0359,0.0795,0.0690,0.0324,0.2103,22903922010.4294,0.0042,-0.0911,-0.1085,0.0458,0.1098,False,True,,6,,False
KBE,banks,2026-09-21,751.0000,66.0700,-0.0729,0.2664,-0.4693,0.0330,-0.0393,-0.0343,-0.0372,-0.0862,-0.0418,0.1554,85012664.2215,0.0787,-0.0673,0.0000,1.1691,0.1486,False,False,,3,,False
EWJ,japan,2026-09-21,751.0000,97.9600,-0.0061,0.7869,-0.0304,0.0967,0.0309,-0.0315,0.0143,0.0700,-0.0033,0.2006,340982876.1548,0.0061,-0.0868,-0.0106,0.0705,0.1151,False,False,,4,,False
EFA,dev-exus,2026-09-21,751.0000,106.1300,-0.0246,0.3292,-0.1900,0.0497,-0.0016,-0.0269,-0.0467,-0.0081,-0.0205,0.1296,1069514372.5962,0.0253,-0.0561,-0.0109,0.4499,0.1782,False,False,,3,,False
XLK,tech,2026-09-21,751.0000,194.8500,-0.0146,0.6530,-0.0505,0.2005,0.0642,-0.0265,0.2468,0.2366,0.0416,0.2897,1237927612.2935,0.0148,-0.1254,-0.1461,0.1184,0.0797,False,True,,6,,False
RSP,bench,2026-09-21,751.0000,212.6800,-0.0417,0.1817,-0.4063,0.0461,-0.0173,-0.0232,-0.0688,-0.0389,-0.0252,0.1027,1297773864.3767,0.0435,-0.0444,-0.0056,0.9791,0.2250,False,False,,4,,False
COPX,base-metals,2026-09-21,751.0000,87.4900,-0.0929,0.5178,-0.2207,0.0700,0.0229,-0.0076,0.0721,0.5217,-0.0350,0.4208,283564507.5803,0.1024,-0.1822,-0.0377,0.5620,0.0549,False,False,,4,,False
EWT,taiwan,2026-09-21,751.0000,115.6400,0.0000,1.0000,0.0000,0.3381,0.1087,-0.0048,0.4595,0.7129,0.0308,0.3584,396251732.4252,0.0000,-0.1552,0.0000,0.0000,0.0644,False,True,,6,,False
SPY,bench,2026-09-21,751.0000,773.5000,-0.0032,0.6653,-0.0270,0.0849,0.0201,0.0000,0.0000,0.0000,0.0068,0.1171,31548547467.6016,0.0032,-0.0507,-0.0276,0.0626,0.1972,False,True,,5,,False
FXI,china,2026-09-21,751.0000,34.9100,-0.1484,0.1612,-0.8619,-0.0374,-0.0075,0.0026,-0.1983,-0.3184,-0.0270,0.1722,561875811.1303,0.1743,-0.0746,-0.0951,2.3373,0.1341,False,False,,3,,False
XLF,financials,2026-09-21,751.0000,55.9000,-0.0420,0.2514,-0.3243,0.0491,-0.0190,0.0030,-0.0458,-0.1314,-0.0345,0.1297,1759730547.8770,0.0439,-0.0561,-0.0042,0.7817,0.1781,False,False,,3,,False
SHLD,defense-us,2026-09-21,751.0000,63.1800,-0.1876,0.0587,-0.7945,-0.0705,-0.0216,0.0044,-0.3321,-0.2274,0.0032,0.2361,58188663.3869,0.2309,-0.1022,-0.0818,2.2585,0.0978,False,True,,6,,False
IAK,fin-other,2026-09-21,751.0000,141.3400,-0.0673,0.0806,-0.3497,0.0451,-0.0260,0.0046,-0.0791,-0.0806,-0.0256,0.1924,14389609.6240,0.0722,-0.0833,0.0000,0.8660,0.1200,False,False,,5,,False
IHF,health-other,2026-09-21,751.0000,55.8600,-0.0365,0.6366,-0.2233,0.1141,-0.0153,0.0173,0.1236,-0.0107,-0.0249,0.1635,34834235.5721,0.0379,-0.0708,0.0000,0.5352,0.1412,False,False,,3,,False
