,theme,asof,days,price,dd_52w,dd_pctile,dd_z,vs_sma200,vs_sma50,rs_spy_3m,rs_spy_6m,rs_spy_12m,ret_10d,vol_60d,dollar_vol,tp_pct,sl_pct,dip_low_pct,rr,size_1pct,is_dip,stabilizing,dip_score
ARKQ,ai/robot,2026-09-04,754.0000,122.2500,-0.1500,0.1075,-0.4356,-0.0093,-0.0042,-0.1037,-0.1216,0.0747,-0.0265,0.3443,10783763.4951,0.1764,-0.1491,-0.1038,1.1835,0.0671,True,False,0.6016
ARKX,space,2026-09-04,754.0000,32.2200,-0.1463,0.0830,-0.4512,0.0062,-0.0062,-0.1004,-0.1205,0.0604,-0.0310,0.3241,17042325.9282,0.1713,-0.1404,-0.0838,1.2206,0.0712,True,False,0.6179
XLY,sector,2026-09-04,754.0000,114.9100,-0.0735,0.2517,-0.3411,-0.0151,-0.0115,-0.0445,-0.1434,-0.2148,-0.0264,0.2155,586625533.2670,0.0793,-0.0933,-0.0823,0.8501,0.1072,True,False,0.6260
XLC,sector,2026-09-04,754.0000,112.0300,-0.0616,0.1565,-0.3046,-0.0139,0.0130,-0.0411,-0.1923,-0.2053,0.0057,0.2023,445557761.2304,0.0657,-0.0876,-0.0594,0.7496,0.1141,True,True,0.6341
BKCH,crypto,2026-09-04,754.0000,74.9100,-0.3680,0.2898,-0.4944,0.0432,0.0946,-0.0900,0.1209,0.0589,0.0650,0.7443,5475808.6249,0.5822,-0.3223,-0.3082,1.8066,0.0310,True,True,0.6748
WGMI,crypto,2026-09-04,754.0000,47.4800,-0.3415,0.3020,-0.3719,-0.0222,-0.0626,-0.2760,0.1648,0.4280,0.0383,0.9182,30505399.0320,0.5185,-0.3976,-0.1306,1.3042,0.0252,True,True,0.6911
JETS,transport,2026-09-04,754.0000,28.8000,-0.1411,0.2231,-0.4374,0.0161,-0.0730,-0.0162,-0.0155,-0.0816,-0.0260,0.3225,73604329.3898,0.1642,-0.1397,-0.0316,1.1760,0.0716,True,False,0.6992
VNM,country,2026-09-04,754.0000,18.1600,-0.0828,0.6517,-0.3401,-0.0032,0.0322,-0.0375,-0.1109,-0.2123,0.0162,0.2436,8688910.2122,0.0903,-0.1055,-0.1002,0.8563,0.0948,True,True,0.7073
DTCR,reit,2026-09-04,754.0000,28.1800,-0.1287,0.0653,-0.4723,0.0720,-0.0063,-0.1239,-0.0088,0.3541,-0.0049,0.2724,18833665.6027,0.1477,-0.1180,-0.0575,1.2518,0.0848,True,False,0.7236
GRID,grid/infra,2026-09-04,754.0000,178.9900,-0.1005,0.0748,-0.3629,0.0297,-0.0162,-0.0888,-0.0675,0.0658,-0.0107,0.2771,100854241.9621,0.1118,-0.1200,-0.0641,0.9317,0.0834,True,False,0.7317
AIPO,ai/robot,2026-09-04,281.0000,29.0700,-0.1639,0.0687,-0.3865,0.0516,-0.0254,-0.1140,0.0302,0.2522,0.0055,0.4241,30249953.6892,0.1961,-0.1837,-0.0953,1.0676,0.0545,True,True,0.7724
ROBO,ai/robot,2026-09-04,754.0000,80.5700,-0.1081,0.1279,-0.3568,0.0436,-0.0099,-0.0806,-0.0322,0.0809,-0.0074,0.3031,15743020.6841,0.1213,-0.1312,-0.0597,0.9239,0.0762,True,False,0.7724
XME,metals,2026-09-04,754.0000,118.6200,-0.1064,0.3524,-0.2820,0.0531,0.0832,-0.0461,-0.0732,0.2599,-0.0060,0.3771,221576163.9230,0.1190,-0.1633,-0.1774,0.7289,0.0612,True,False,0.8211
XSD,semis,2026-09-04,754.0000,491.4500,-0.2433,0.0585,-0.4113,0.1243,-0.0551,-0.1870,0.3768,0.5180,-0.0136,0.5916,37191310.4027,0.3216,-0.2562,-0.0855,1.2553,0.0390,True,False,0.8537
PSI,semis,2026-09-04,754.0000,136.0000,-0.2759,0.0517,-0.3763,0.1411,-0.0716,-0.1091,0.3733,0.9599,-0.0209,0.7332,51603761.6130,0.3810,-0.3175,-0.1125,1.2001,0.0315,True,False,0.8780
QTUM,ai/robot,2026-09-04,754.0000,147.8900,-0.1222,0.0857,-0.3185,0.1327,-0.0102,-0.0773,0.2029,0.3865,-0.0171,0.3837,50368458.6693,0.1392,-0.1662,-0.1058,0.8379,0.0602,True,False,0.9024
BAI,ai/robot,2026-09-04,469.0000,44.5900,-0.1778,0.1622,-0.3006,0.1138,-0.0069,-0.0680,0.2121,0.2311,0.0065,0.5913,108989505.6595,0.2162,-0.2560,-0.1590,0.8444,0.0391,True,True,0.9187
SOXX,semis,2026-09-04,754.0000,519.8600,-0.2063,0.1129,-0.3459,0.2054,-0.0343,-0.0834,0.4571,0.9394,-0.0004,0.5965,3723934271.1873,0.2600,-0.2583,-0.1055,1.0065,0.0387,True,False,0.9431
SMH,semis,2026-09-04,754.0000,567.0100,-0.1523,0.1361,-0.3061,0.1880,-0.0121,-0.0516,0.3384,0.7626,0.0118,0.4978,3856605669.3835,0.1797,-0.2155,-0.1107,0.8338,0.0464,True,True,0.9431
PAVE,grid/infra,2026-09-04,754.0000,55.1600,-0.0789,0.1905,-0.3786,0.0264,-0.0303,-0.0721,-0.0803,-0.0067,-0.0218,0.2084,83610756.8533,0.0857,-0.0902,-0.0225,0.9493,0.1108,False,False,
XLRE,sector,2026-09-04,754.0000,43.9300,-0.0452,0.4544,-0.3067,0.0304,-0.0205,-0.0556,-0.1114,-0.1114,-0.0255,0.1474,229272204.6041,0.0473,-0.0638,-0.0046,0.7419,0.1567,False,False,
IYT,transport,2026-09-04,754.0000,84.1700,-0.0649,0.3252,-0.3561,0.0473,-0.0314,-0.0504,-0.0446,0.0063,-0.0329,0.1822,38667550.1894,0.0694,-0.0789,-0.0147,0.8795,0.1268,False,False,
IGF,grid/infra,2026-09-04,754.0000,65.0800,-0.0486,0.0707,-0.5249,0.0024,-0.0186,-0.0497,-0.1680,-0.0787,-0.0050,0.0927,43646178.6598,0.0511,-0.0401,-0.0105,1.2743,0.2492,False,False,
VNQ,reit,2026-09-04,754.0000,96.0200,-0.0488,0.4177,-0.3420,0.0325,-0.0227,-0.0462,-0.1050,-0.1089,-0.0252,0.1428,262952957.9823,0.0513,-0.0618,-0.0025,0.8305,0.1618,False,False,
XLI,sector,2026-09-04,754.0000,175.2700,-0.0603,0.1333,-0.3423,0.0298,-0.0327,-0.0382,-0.1147,-0.0278,-0.0276,0.1760,1131794041.4843,0.0641,-0.0762,-0.0145,0.8413,0.1312,False,False,
XLP,sector,2026-09-04,754.0000,84.5800,-0.0485,0.2544,-0.2864,0.0234,-0.0053,-0.0262,-0.1531,-0.1217,-0.0164,0.1693,756832904.8946,0.0510,-0.0733,-0.0509,0.6952,0.1364,False,False,
QQQ,bench,2026-09-04,754.0000,718.9600,-0.0354,0.3565,-0.1485,0.0947,0.0111,-0.0261,0.0500,0.0562,0.0077,0.2384,22082609518.2281,0.0367,-0.1032,-0.0796,0.3555,0.0969,False,True,
AIQ,ai/robot,2026-09-04,754.0000,64.3200,-0.0830,0.2027,-0.2419,0.1501,0.0353,-0.0182,0.1584,0.2290,0.0140,0.3430,69107119.2857,0.0905,-0.1485,-0.1297,0.6093,0.0673,False,True,
XT,ai/robot,2026-09-04,754.0000,82.3760,-0.0177,0.5959,-0.0949,0.0954,0.0092,-0.0160,0.0354,0.1126,-0.0063,0.1862,5220838.8255,0.0180,-0.0806,-0.0626,0.2231,0.1240,False,False,
OIH,oil/gas,2026-09-04,754.0000,427.5300,-0.0581,0.8054,-0.1939,0.1325,0.0838,-0.0160,-0.0064,0.4872,0.0294,0.2999,109344053.8446,0.0617,-0.1298,-0.1589,0.4754,0.0770,False,True,
XLB,sector,2026-09-04,754.0000,52.4400,-0.0229,0.7061,-0.1222,0.0526,0.0119,-0.0073,-0.0912,-0.0303,-0.0205,0.1876,571476140.0911,0.0235,-0.0812,-0.0071,0.2888,0.1231,False,False,
XLK,sector,2026-09-04,754.0000,187.2800,-0.0540,0.3429,-0.1689,0.1696,0.0256,-0.0070,0.2159,0.2340,0.0217,0.3199,1110859885.3191,0.0571,-0.1385,-0.1106,0.4122,0.0722,False,True,
MAGS,bench,2026-09-04,754.0000,69.4400,-0.0211,0.6463,-0.0845,0.0656,0.0383,-0.0029,-0.0130,-0.0508,0.0321,0.2501,185757657.4483,0.0216,-0.1083,-0.1205,0.1994,0.0923,False,True,
SPY,bench,2026-09-04,754.0000,770.1900,-0.0099,0.4667,-0.0781,0.0850,0.0176,0.0000,0.0000,0.0000,0.0058,0.1266,27930468424.0976,0.0100,-0.0548,-0.0109,0.1821,0.1824,False,True,
IWM,bench,2026-09-04,754.0000,296.0100,-0.0298,0.5347,-0.2000,0.0884,-0.0034,0.0065,0.0332,0.0645,-0.0132,0.1488,4988897930.7527,0.0307,-0.0644,-0.0184,0.4761,0.1552,False,False,
INDA,country,2026-09-04,754.0000,49.9100,-0.0973,0.3088,-0.7720,-0.0105,0.0096,0.0073,-0.1532,-0.2506,0.0054,0.1260,189615865.9430,0.1078,-0.0546,-0.0900,1.9751,0.1832,False,True,
ARGT,country,2026-09-04,754.0000,96.4100,-0.0600,0.5306,-0.2368,0.0464,0.0316,0.0095,-0.0335,0.0224,0.0388,0.2535,12190310.2548,0.0639,-0.1098,-0.1163,0.5819,0.0911,False,True,
RSP,bench,2026-09-04,754.0000,219.0000,-0.0169,0.4517,-0.1590,0.0808,0.0087,0.0109,-0.0373,-0.0168,-0.0120,0.1064,1237563691.4639,0.0172,-0.0461,-0.0064,0.3735,0.2170,False,False,
PICK,metals,2026-09-04,754.0000,65.0600,-0.0482,0.6408,-0.1600,0.1145,0.0700,0.0150,-0.0080,0.4160,-0.0097,0.3014,42651769.3615,0.0507,-0.1305,-0.1417,0.3881,0.0766,False,False,
XRT,consumer,2026-09-04,754.0000,87.5900,-0.0515,0.4000,-0.2437,0.0235,-0.0103,0.0154,-0.0920,-0.1844,-0.0014,0.2115,318952267.3713,0.0543,-0.0916,-0.0191,0.5933,0.1092,False,False,
PHO,water,2026-09-04,754.0000,70.5500,-0.0501,0.3605,-0.2875,0.0110,0.0011,0.0177,-0.1325,-0.2306,-0.0227,0.1741,5094339.9813,0.0527,-0.0754,-0.0924,0.6990,0.1326,False,False,
USO,oil/gas,2026-09-04,754.0000,141.9600,-0.0719,0.7837,-0.1364,0.3207,0.1460,0.0203,0.1536,0.7141,0.0544,0.5270,596213846.4803,0.0775,-0.2282,-0.2725,0.3395,0.0438,False,True,
EEM,country,2026-09-04,754.0000,68.7000,-0.0352,0.4163,-0.1199,0.1180,0.0440,0.0222,0.0532,0.2055,0.0235,0.2939,1071246171.0761,0.0365,-0.1273,-0.1111,0.2871,0.0786,False,True,
BLOK,crypto,2026-09-04,754.0000,65.2300,-0.1124,0.4340,-0.2821,0.0949,0.0614,0.0225,0.1016,-0.0738,0.0362,0.3985,12547475.8654,0.1266,-0.1726,-0.2749,0.7339,0.0579,False,True,
DRAM,semis,2026-09-04,108.0000,59.6900,-0.2605,0.4270,-0.2617,,0.0474,0.0230,,,0.0348,0.9955,2152519319.9347,0.3523,-0.4310,-0.2486,0.8174,0.0232,False,True,
FDN,internet/ark,2026-09-04,754.0000,290.8700,-0.0148,0.6776,-0.0686,0.1018,0.0428,0.0233,0.0293,-0.1620,0.0145,0.2161,53599189.8698,0.0151,-0.0936,-0.0244,0.1609,0.1069,False,True,
IHI,health-other,2026-09-04,754.0000,53.6300,-0.1654,0.1116,-0.6453,-0.0334,0.0106,0.0256,-0.2045,-0.3302,-0.0452,0.2563,125576094.7095,0.1982,-0.1110,-0.1147,1.7855,0.0901,False,False,
AMLP,oil/gas,2026-09-04,754.0000,55.7200,-0.0025,0.8395,-0.0173,0.1145,0.0382,0.0290,-0.0512,0.0535,0.0177,0.1446,65741125.2392,0.0025,-0.0626,-0.0054,0.0401,0.1597,False,True,
EFA,country,2026-09-04,754.0000,108.3500,-0.0042,0.7456,-0.0299,0.0800,0.0234,0.0294,-0.0316,0.0266,0.0010,0.1414,930220419.1599,0.0042,-0.0612,-0.0172,0.0693,0.1633,False,True,
EWY,country,2026-09-04,754.0000,188.8700,-0.1384,0.2544,-0.1917,0.2827,0.0821,0.0311,0.3388,1.4432,0.0590,0.7217,2536135947.7828,0.1606,-0.3125,-0.2365,0.5139,0.0320,False,True,
KRE,banks,2026-09-04,754.0000,75.2700,-0.0341,0.7129,-0.1957,0.0859,-0.0047,0.0320,0.0216,-0.0338,0.0055,0.1744,861316420.5357,0.0353,-0.0755,-0.0352,0.4680,0.1324,False,True,
